Ticker,Name,Sector,Industry,Definition
GAEL,Gujarat Ambuja Exports Limited,Other Agricultural Products,Other Agricultural Products,"Companies engaged in the production of
renewable and non-renewable power.
Includes investment trusts where
underlying is power generation"
GAIL,GAIL (India) Limited,Utilities (Including Pipelines),Utilities (Including Pipelines),"Companies engaged into water supply and
management"
GALAXYSURF,Galaxy Surfactants Limited,Specialty Chemicals,Specialty Chemicals,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
GANDHITUBE,Gandhi Special Tubes Limited,IRON & STEEL PRODUCTS,IRON & STEEL PRODUCTS,"Companies engaged in designing,
construction and maintenance of roads,
bridges, canals, dams etc. It also include
companies engaged into Engineering,
procurement and construction (EPC)
projects. It excludes companies engaged
in construction of residential and
commercial buildings which are classified
as 'Realty' under 'Consumer
Discretionary'. Includes investment trusts
where underlying is 'Civil Construction'"
GANECOS,Ganesha Ecosphere Limited,Textiles,Textiles,"Manufacturers & distributors of apparels/
garments, knitwears, innerwears etc."
GANESHBE,Ganesh Benzoplast Limited,Commodity Chemicals,Commodity Chemicals,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
GANESHHOUC,Ganesh Housing Corporation Limited,Realty,Realty,"Companies engaged in development and
construction of residential/ commercial
(offices/shops etc.) properties"
GANGESSECU,Ganges Securities Limited,INVESTMENT COMPANIES,INVESTMENT COMPANIES,"Manufacturer of passenger /utility
vehicles including car, bus, taxis, auto
rickshaws etc."
GARFIBRES,Garware Technical Fibres Limited,Textiles,Textiles,"Manufacturers & distributors of apparels/
garments, knitwears, innerwears etc."
GATEWAY,Gateway Distriparks Limited,Non-Energy Minerals,Non-Energy Minerals,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
GEECEE,GeeCee Ventures Limited,Realty,Realty,"Companies engaged in development and
construction of residential/ commercial
(offices/shops etc.) properties"
GEEKAYWIRE,Geekay Wires Limited,IRON & STEEL PRODUCTS,IRON & STEEL PRODUCTS,"Companies engaged in designing,
construction and maintenance of roads,
bridges, canals, dams etc. It also include
companies engaged into Engineering,
procurement and construction (EPC)
projects. It excludes companies engaged
in construction of residential and
commercial buildings which are classified
as 'Realty' under 'Consumer
Discretionary'. Includes investment trusts
where underlying is 'Civil Construction'"
GENCON,Generic Engineering Construction and Projects Limited,Realty,Realty,"Companies engaged in development and
construction of residential/ commercial
(offices/shops etc.) properties"
GENESYS,Genesys International Corporation Limited,Software Products,Software Products,"Companies engaged in development and
construction of residential/ commercial
(offices/shops etc.) properties"
GENSOL,Gensol Engineering Limited,Industrial Services,Industrial Services,"Companies providing dredging and related
services"
GENUSPAPER,Genus Paper & Boards Limited,Paper & Paper Products,Paper & Paper Products,"Companies engaged in the production of
renewable and non-renewable power.
Includes investment trusts where
underlying is power generation"
GENUSPOWER,Genus Power Infrastructures Limited,Other Electrical Equipment/ Products,Other Electrical Equipment/ Products,"Companies engaged in the production of
renewable and non-renewable power.
Includes investment trusts where
underlying is power generation"
GEOJITFSL,Geojit Financial Services Limited,Financial Services,Financial Services,"Financial Institutions as defined under
Section 4(1) of the Companies Act, 1956"
GEPIL,GE Power India Limited,Heavy Electrical Equipment,Heavy Electrical Equipment,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
GESHIP,The Great Eastern Shipping Company Limited,Shipping,Shipping,"Manufacturers and distributor of ferro
silico manganese like ferro alloys,
briquette, fly ash bricks etc."
GFLLIMITED,GFL Limited,Consumer Services,Consumer Services,"Owners and operators of hotels, resorts
etc. Includes investment trusts where
underlying is 'Hotels and Resorts'"
GHCL,GHCL Limited,Commodity Chemicals,Commodity Chemicals,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
GICHSGFIN,GIC Housing Finance Limited,Housing Finance Companies,Housing Finance Companies,"Manufacturer of passenger /utility
vehicles including car, bus, taxis, auto
rickshaws etc."
GICRE,General Insurance Corporation of India,General Insurance,General Insurance,"Companies providing dredging and related
services"
GILLETTE,Gillette India Limited,Personal Products,Personal Products,"Companies engaged in the production of
renewable and non-renewable power.
Includes investment trusts where
underlying is power generation"
GINNIFILA,Ginni Filaments Limited,Textiles,Textiles,"Manufacturers & distributors of apparels/
garments, knitwears, innerwears etc."
GIPCL,Gujarat Industries Power Company Limited,Electric Utilities,Electric Utilities,"Companies engaged into water supply and
management"
GKWLIMITED,GKW Limited,Transportation,Transportation,"Companies engaged in the production of
renewable and non-renewable power.
Includes investment trusts where
underlying is power generation"
GLAND,Gland Pharma Limited,Pharmaceuticals,Pharmaceuticals,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,Pharmaceuticals,Pharmaceuticals,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
GLENMARK,Glenmark Pharmaceuticals Limited,Pharmaceuticals,Pharmaceuticals,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
GLOBAL,Global Education Limited,Education,Education,"Manufacturer, supplier and distributor of
cement, cement products"
GLOBUSSPR,Globus Spirits Limited,Breweries & Distilleries,Breweries & Distilleries,"Companies engaged into water supply and
management"
GLS,Glenmark Life Sciences Limited,Pharmaceuticals,Pharmaceuticals,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
GMBREW,GM Breweries Limited,Breweries & Distilleries,Breweries & Distilleries,"Companies engaged into water supply and
management"
GMDCLTD,Gujarat Mineral Development Corporation Limited,Coal,Coal,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
GMMPFAUDLR,GMM Pfaudler Limited,INDUSTRIAL EQUIPMENT,INDUSTRIAL EQUIPMENT,"Companies engaged in development and
construction of residential/ commercial
(offices/shops etc.) properties"
GMRINFRA,GMR Airports Infrastructure Limited,Airport Services,Airport Services,"Companies providing dredging and related
services"
GNA,GNA Axles Limited,Auto Parts & Equipment,Auto Parts & Equipment,"Manufacturer of passenger /utility
vehicles including car, bus, taxis, auto
rickshaws etc."
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,FERTILIZERS,FERTILIZERS,"Manufacturers & distributors of apparels/
garments, knitwears, innerwears etc."
GOACARBON,Goa Carbon Limited,Refineries & Petroleum Products,Refineries & Petroleum Products,"Companies providing dredging and related
services"
GOCLCORP,GOCL Corporation Limited,EXPLOSIVES,EXPLOSIVES,"Manufacturers & distributors of apparels/
garments, knitwears, innerwears etc."
GOCOLORS,Go Fashion (India) Limited,Other Apparels & Accessories,Other Apparels & Accessories,"Manufacturers and distributors of
pharmaceuticals and companies engaged
in research & development of
pharmaceuticals"
GODFRYPHLP,Godfrey Phillips India Limited,Cigarettes & Tobacco Products,Cigarettes & Tobacco Products,"Companies engaged in designing,
construction and maintenance of roads,
bridges, canals, dams etc. It also include
companies engaged into Engineering,
procurement and construction (EPC)
projects. It excludes companies engaged
in construction of residential and
commercial buildings which are classified
as 'Realty' under 'Consumer
Discretionary'. Includes investment trusts
where underlying is 'Civil Construction'"
GODREJAGRO,Godrej Agrovet Limited,Other Agricultural Products,Other Agricultural Products,"Companies engaged in the production of
renewable and non-renewable power.
Includes investment trusts where
underlying is power generation"
GODREJCP,Godrej Consumer Products Limited,Personal Products,Personal Products,"Companies engaged in the production of
renewable and non-renewable power.
Includes investment trusts where
underlying is power generation"
GODREJIND,Godrej Industries Limited,Packaged Foods,Packaged Foods,"Manufacturers of civil and military
aerospace and equipments, defense
equipments, defense electronics and
products thereof"
GODREJPROP,Godrej Properties Limited,Realty,Realty,"Companies engaged in development and
construction of residential/ commercial
(offices/shops etc.) properties"
GOKEX,Gokaldas Exports Limited,Other Apparels & Accessories,Other Apparels & Accessories,"Manufacturers and distributors of
pharmaceuticals and companies engaged
in research & development of
pharmaceuticals"
GOKULAGRO,Gokul Agro Resources Limited,Edible Oils,Edible Oils,"Manufacturers & distributors of apparels/
garments, knitwears, innerwears etc."
GOLDIAM,Goldiam International Limited,Other Apparels & Accessories,Other Apparels & Accessories,"Manufacturers and distributors of
pharmaceuticals and companies engaged
in research & development of
pharmaceuticals"
GOLDTECH,Goldstone Technologies Limited,IT Consulting & Application Software,IT Consulting & Application Software,"Companies engaged in designing,
construction and maintenance of roads,
bridges, canals, dams etc. It also include
companies engaged into Engineering,
procurement and construction (EPC)
projects. It excludes companies engaged
in construction of residential and
commercial buildings which are classified
as 'Realty' under 'Consumer
Discretionary'. Includes investment trusts
where underlying is 'Civil Construction'"
GOODLUCK,Goodluck India Limited,IRON & STEEL PRODUCTS,IRON & STEEL PRODUCTS,"Companies engaged in designing,
construction and maintenance of roads,
bridges, canals, dams etc. It also include
companies engaged into Engineering,
procurement and construction (EPC)
projects. It excludes companies engaged
in construction of residential and
commercial buildings which are classified
as 'Realty' under 'Consumer
Discretionary'. Includes investment trusts
where underlying is 'Civil Construction'"
GPIL,Godawari Power And Ispat limited,Iron & Steel and Intermediary Products,Iron & Steel and Intermediary Products,"Manufacturer, supplier and distributor of
cement, cement products"
GPPL,Gujarat Pipavav Port Limited,Marine Port & Services,Marine Port & Services,"Companies providing dredging and related
services"
GPTINFRA,GPT Infraprojects Limited,Construction & Engineering,Construction & Engineering,"Companies engaged in designing,
construction and maintenance of roads,
bridges, canals, dams etc. It also include
companies engaged into Engineering,
procurement and construction (EPC)
projects. It excludes companies engaged
in construction of residential and
commercial buildings which are classified
as 'Realty' under 'Consumer
Discretionary'. Includes investment trusts
where underlying is 'Civil Construction'"
GRANULES,Granules India Limited,Pharmaceuticals,Pharmaceuticals,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
GRAPHITE,Graphite India Limited, Industrial Goods, Industrial Goods,Producers and distributors of edible oil
GRASIM,Grasim Industries Limited,Cement & Cement Products,Cement & Cement Products,"Manufacturers and distributor of ferro
silico manganese like ferro alloys,
briquette, fly ash bricks etc."
GRAVITA,Gravita India Limited,INDUSTRIAL MINERALS,INDUSTRIAL MINERALS,"Manufacturers of basic and industrial
chemicals like synthetic fibres, films,
organic and inorganic chemicals etc."
GREAVESCOT,Greaves Cotton Limited,Industrial Machinery,Industrial Machinery,"Companies engaged in development and
construction of residential/ commercial
(offices/shops etc.) properties"
GREENLAM,Greenlam Industries Limited,PLYWOOD BOARDS/ LAMINATES,PLYWOOD BOARDS/ LAMINATES,"Manufacturers of paper, paper boards etc."
GREENPANEL,Greenpanel Industries Limited,Forest Products - PLY & BOARDS,Forest Products - PLY & BOARDS,"Manufacturers of paper, paper boards etc."
GREENPLY,Greenply Industries Limited,Forest Products - PLY & BOARDS,Forest Products - PLY & BOARDS,"Manufacturers of paper, paper boards etc."
GRINDWELL,Grindwell Norton Limited,ABRASIVES,ABRASIVES,"Manufacturers and distributors of bicycles
and tricycles"
GRINFRA,G R Infraprojects Limited,Construction & Engineering,Construction & Engineering,"Companies engaged in designing,
construction and maintenance of roads,
bridges, canals, dams etc. It also include
companies engaged into Engineering,
procurement and construction (EPC)
projects. It excludes companies engaged
in construction of residential and
commercial buildings which are classified
as 'Realty' under 'Consumer
Discretionary'. Includes investment trusts
where underlying is 'Civil Construction'"
GRMOVER,GRM Overseas Limited,Process Industries,Process Industries,"Companies providing dredging and related
services"
GROBTEA,The Grob Tea Company Limited,Tea & Coffee,Tea & Coffee,"Companies providing advertising, public
relations and marketing services. It also
includes billboard providers and
telemarketers."
